ra,turma
11201920575,DA3BCN0402-15SA
11201920575,DA3BCN0404-15SA
11201920575,DA2BCM0504-15SA
13201910061,NAESHR022-14SB
13201910061,NAESHR008-13SB
13201910061,NAESHR026-14SB
13201910061,NABHO0001-15SB
13201910061,NAESHR017-13SB
11201922339,DBBIS0003-15SB
11201922339,NA1BIK0102-15SB
11201922339,DABHO1335-15SB
11201922339,DABHO1101-15SB
11201922339,DABHO0001-15SB
11201922339,DABHP0202-15SB
21044013,DANHI5011-13SA
11201920378,NA1BCL0306-15SA
11201920378,NA6BCJ0204-15SA
11201920378,NA4BCN0402-15SA
11201920378,NA2BCN0404-15SA
11201920378,NA2BCM0504-15SA
21008315,NA1ESTB002-17SB
21008315,NAESTB007-17SB
21008315,NA2ESTB018-17SB
21008315,NAESTO903-17SB
21008315,NB2ESTO012-17SB
11201810101,NA1BCM0506-15SA
11201810101,NB2BIQ0602-15SA
11201810101,DI1BCN0404-15SA
11201810101,DAMCTC002-15SB
11201810101,DA1BIN0406-15SA
11201810101,DAMCZC016-15SB
11201811049,DA1BIQ0602-15SA
11201811049,DB9BCJ0204-15SA
11201811049,DA4BCN0402-15SA
21032816,DA4ESTO001-17SA
21032816,DA3BCK0103-15SA
21032816,DB1BCN0402-15SA
21032816,DB1BCN0404-15SA
21032816,DA1BIN0406-15SA
21032816,DCESTO012-17SA
11201932503,DA1BIS0005-15SA
11201932503,DA1BIJ0207-15SA
11201932503,DB1BIR0004-15SA
11201932503,DA1BIS0003-15SA
11201932503,DA3BCL0306-15SA
11201932503,NA1BIK0102-15SA
11201932503,DA1BIL0304-15SA
11012316,DAESTG006-17SB
11012316,DAESTG007-17SB
11012316,DAESTG010-17SB
11201920333,DB1BCL0306-15SB
11201920333,DB1BCJ0204-15SB
11201920333,DB1BCN0402-15SB
11201920333,DB1BCN0404-15SB
11201920333,DB1BCM0504-15SB
21055316,NB1MCTB001-17SA
21055316,NA3BCL0308-15SA
21055316,NB2BCK0103-15SA
11201922310,NAESHC008-17SB
11201922310,NAESHC028-17SB
11201922310,NAESHC020-17SB
11201922310,NABHS0001-15SB
11201722296,NS2BCJ0204-15SB
11201722296,NA1BCN0404-15SB
11201722296,DBMCTC002-15SA
11201722296,DANHT1058-15SB
11201722296,NAMCTC024-15SB
11201722296,DBNHZ5014-15SA
11032014,NAESTA016-17SA
11032014,NA2ESTO006-17SA
11032014,NAESTO015-17SA
11032014,NBESTA010-17SA
11032014,DBESTI013-17SA
13201812294,DA1ESHC035-17SB
13201812294,NAESHC008-17SB
13201812294,DAESHC020-17SB
13201812294,NAESHC031-17SB
13201812294,NAESHC026-17SB
11201920236,DBBIS0003-15SB
11201920236,DABHO1335-15SB
11201920236,DABHO1101-15SB
11201920236,DABHO0001-15SB
11201920236,DABHP0202-15SB
21065813,NAESHT001-17SB
21065813,NAESHT003-17SB
21065813,NAESHT005-17SB
21065813,NAESHT007-17SA
21065813,NAESHT013-17SB
21089615,DAMCTB001-17SB
21089615,NAMCTB010-13SB
21089615,DAESTS010-17SB
21089615,NAESTS008-17SB
11201811714,NBNHI2049-13SA
11201811714,NB2MCTA028-15SA
11108712,DA1ESTA002-17SA
11108712,DANHZ5020-15SA
11108712,DB1ESTO903-17SA
11108712,NB8BCJ0204-15SA
11108712,DA1BCN0404-15SB
11108712,DAESTO017-17SA
11053016,DABHQ0002-15SB
11053016,DAESZP037-14SB
11201811707,DB1BIS0003-15SA
11201811707,NANHZ3086-15SA
11201811707,NA3BCJ0204-15SA
11201811707,DB3BCK0103-15SA
11201811707,DA2BCN0404-15SA
11201811707,DA1BCN0405-15SB
11201921586,NB1BIS0003-15SB
11201921586,NABHO1335-15SB
11201921586,NABHO1101-15SB
11201921586,NABHO0001-15SB
11201921586,NABHP0202-15SB
11084613,NAESHR026-14SB
11084613,DAESZT014-17SB
21033215,NABHP0202-15SB
21080814,NA1BIN0406-15SB
11042015,NA1ESTO903-17SA
11042015,NANHT3013-13SA
11042015,NAESTE015-17SA
11042015,DDESTO012-17SA
11042015,NAESTA022-17SA
11079216,NAESTA005-17SA
11079216,NA2ESTI002-17SA
11079216,DC2ESTO902-17SA
11079216,NBESTO008-17SA
11079216,DBESTI003-17SA
11201920781,NA3BCL0306-15SA
11201920781,NA5BCJ0204-15SA
11201920781,NA4BCN0402-15SA
11201920781,NA2BCN0404-15SA
11201920781,NA1BCM0504-15SA
11117713,NAESTG025-17SB
11117713,NAMCZD007-18SA
11117713,NAESTS008-17SB
11201811563,DB2MCTB001-17SA
11201811563,DA2BIR0004-15SA
11201811563,DA6BCL0308-15SA
11201811563,DA3BCK0103-15SA
11201811563,DC1MCTA028-15SA
11201811129,NB1BIR0004-15SA
11201811129,NB1BIS0003-15SA
11201720368,NB5BCL0308-15SA
11201720368,NB2BIQ0602-15SA
11201720368,NB2BCK0103-15SA
11201920520,DB2BCL0306-15SA
11201920520,DB1BCN0402-15SA
11201920520,DB2BCN0404-15SA
11201920520,DB2BCM0504-15SA
11201920706,DA3BCL0306-15SA
11201920706,DB2BCJ0204-15SA
11201920706,DA1BCN0402-15SA
11201920706,DA3BCN0404-15SA
11201920385,NA1BCL0306-15SA
11201920385,NA5BCJ0204-15SA
11201920385,NA3BCN0402-15SA
11201920385,NA4BCN0404-15SA
11201920385,NA2BCM0504-15SA
11096513,NB4BCN0402-15SA
11096513,NAESTO008-17SA
11096513,DDESTO012-17SA
21083914,DAESZT014-17SB
11201810859,NAESHC002-17SB
11201810859,DAESHC030-17SB
11201810859,NAESHC028-17SB
11201810859,NB2BCN0402-15SB
11201810859,NAESHC020-17SB
11201810859,DA1BIN0406-15SA
11054214,NAESZG013-17SB
11054214,DC2ESTO903-17SA
11054214,DAESZG041-17SB
11201722567,NA1NHT4002-13SA
11201722567,NB3BCK0103-15SA
11201722567,DANHZ4035-15SA
11112812,NANHT4007-15SA
11201810209,NB1BIR0603-15SA
11201810209,NB2ESTO902-17SA
11201810209,NB3MCTA028-15SA
11201920551,NA2BCL0306-15SA
11201920551,NA1BCJ0204-15SA
11201920551,NA4BCN0402-15SA
11201920551,NA2BCM0504-15SA
11201811442,DA1BIJ0207-15SA
11201811442,DA5BCL0308-15SA
11201811442,DA2BIQ0602-15SA
11201811442,DA3BCK0103-15SA
11201811442,DA2ESTO006-17SA
11201811442,DS1BCM0505-15SA
11201811258,DBMCTB009-17SA
11201811258,DB1BIR0603-15SA
11201811258,DA1ESTO013-17SA
11201810244,NA1BIJ0207-15SA
11201810244,NA5BCL0308-15SA
11201810244,NA1ESTO013-17SA
11201810244,NB2BCK0103-15SA
11201810244,NA4BCN0404-15SA
11076313,NAESTB007-17SB
11076313,NA1ESTA002-17SB
21022712,NA1MCTA002-17SA
21022712,NB1MCTA028-15SA
21022712,NA1MCTA017-17SA
11201810449,DAESTU024-17SA
11201810449,NB4BCL0308-15SA
11201810449,DANHZ6016-18SA
11201810449,DB1BIR0603-15SA
11201810449,DANHZ5021-16SA
11201810449,DB2BCK0103-15SA
11201810449,DANHT1048-15SA
11201722315,DAESHC008-17SB
11201722315,NAESHT005-17SB
11201722315,DAESZC020-17SB
11201722315,DAESHC032-17SB
11201722315,NAESHC026-17SB
11201721098,DAESTA006-17SA
11201721098,DA2ESTO006-17SA
11201721098,NAESTO015-17SA
11201721098,NBESTO008-17SA
11201721098,NAESZI043-17SA
11201922401,DA3BCL0306-15SA
11201922401,DA7BCJ0204-15SA
11201922401,DA1BCN0402-15SA
11201922401,DA2BCN0404-15SA
11201922401,DA2BCM0504-15SA
11095212,NAESZG031-17SB
11095212,NAESZG021-17SB
11095212,NBESTG020-17SB
21043615,NAESZC001-17SB
21043615,DAESHC034-17SB
11201920267,NA3BCL0306-15SA
11201920267,NA3BCJ0204-15SA
11201920267,NA3BCN0402-15SA
11201920267,NA1BCM0504-15SA
11076112,NA1ESTU024-17SA
11076112,NA1ESTU026-17SA
11076112,NA3ESTO903-17SA
11076112,NAESTU029-17SA
11076112,NAESZU031-17SA
11201810758,DA1BIR0004-15SA
11201810758,DB1BCL0306-15SA
11201721620,DA2BIR0004-15SA
11201721620,NB4BCL0308-15SA
11201721620,NAMCTB009-17SA
11201721620,NB2ESTO013-17SA
11201721620,DC3MCTA028-15SA
11201920143,DB1BCL0306-15SA
11201920143,DA1ESTO902-17SA
11201920143,DB4BCN0402-15SA
11201920143,DB3BCN0404-15SA
11201920143,DB1BCM0504-15SA
11201723029,NAMCTB009-17SB
11201723029,NABHQ0002-15SB
11201723029,NA1BIL0304-15SB
11201723029,NA1BCK0103-15SB
11201920427,DA1BCL0306-15SA
11201920427,DA5BCJ0204-15SA
11201920427,DA2BCN0402-15SA
11201920427,DA1BCN0404-15SA
11201920427,DA1BCM0504-15SA
21059116,NA2ESHC035-17SB
21059116,NAESHC008-17SB
21059116,NAESHC032-17SB
21059116,NAESHC031-17SB
21059116,NAESHC026-17SB
21056316,NANHH2032-13SB
21056316,NANHI5011-13SB
21056316,NANHH2088-16SB
11183209,DAESTI017-17SA
11183209,NB1MCTA028-15SA
11201811981,NB1MCTB001-17SA
11201811981,NBMCTB009-17SA
11201811981,NA2BCN0402-15SA
11201811981,NA3BCN0404-15SA
11201721174,NAESHC030-17SB
11201721174,NAESHC028-17SB
11201721174,NA1ESTO013-17SB
11201721174,NA1BHS0001-15SB
11019811,NAESTO015-17SA
11019811,NB2ESTO012-17SB
11023713,NAESTS001-17SB
21045214,DAESHP013-13SB
21045214,DAESHP014-13SB
11122214,NA1ESTU024-17SA
11122214,NAESTU029-17SA
11122214,NAESTO008-17SA
11122214,NAESTU037-17SA
11122214,NAESTU020-17SA
11201812163,NA2BCL0306-15SB
11201812163,NS3BCJ0204-15SB
11201812163,NB1BIN0406-15SB
11201812163,NA2BCM0504-15SB
11201811418,NB1BCL0308-15SB
11201811418,NB1BCN0404-15SB
11201811418,NAMCTC011-15SB
11110615,NB3ESTO903-17SA
11110615,NAESTO016-17SA
11110615,DDESTO012-17SA
11110615,NAESTM010-17SA
11110615,DAESZM033-17SA
11110615,NAESZM016-17SA
11096512,NAESZG031-17SB
11096512,NBESTG020-17SB
11201921322,DA2BCL0306-15SB
11201921322,DA4BCJ0204-15SB
11201921322,DA2BCN0402-15SB
11201921322,DA1BCN0404-15SB
11201921322,DA1BCM0504-15SB
11201722814,NAMCTB009-17SA
11201722814,NB1BIN0406-15SB
11201722814,NAMCZA015-13SA
11201722814,NA5MCTA028-15SA
11201722814,NA2MCTA027-17SA
11106316,NAESTU023-17SA
11106316,DA2ESTU026-17SA
11106316,DA1ESTO903-17SA
11106316,NS3BCJ0204-15SA
11106316,DA1ESTU032-17SA
11070616,DA1MCTA008-17SA
11070616,DA1MCTA017-17SA
11201921502,NB2BIS0003-15SB
11201921502,NBBHO1335-15SB
11201921502,NBBHO1101-15SB
11201921502,NBBHO0001-15SB
11201921502,NBBHP0202-15SB
11201810492,NAESHR022-14SB
11201810492,NAESHR006-13SB
11201810492,NAESHR007-14SB
11201810492,NAESHR026-14SB
11201810492,NAESHR011-13SB
11039912,DBNHZ5014-15SA
11201723041,NA1BIR0004-15SB
11201722869,NB1MCTB001-17SA
11201722869,NA2ESTA002-17SA
11201722869,NB1ESTO013-17SA
11201722869,NA1ESTA019-17SA
11201722869,NA4ESTI003-17SA
11201920139,NB2BCL0306-15SA
11201920139,NB2BCJ0204-15SA
11201920139,NB2BCN0404-15SA
11201920139,NB1BCM0504-15SA
21011214,NANHI2049-13SB
21011214,NAMCZA049-17SA
21050516,NA1BIS0003-15SA
21050516,NAESHR006-13SB
21050516,NANHI5011-13SB
21050516,NABHS0001-15SB
11019411,NAESZA018-17SA
11019411,NAESTA022-17SA
11201722176,DB1BIR0603-15SA
11201722176,DA2BIQ0602-15SA
11201722176,NB1BCM0505-15SA
11110611,NAESZE104-17SA
11110611,NA3ESTO903-17SA
11110611,NAESZU035-17SA
11110611,NAESTA016-17SA
11110611,NAESTA020-17SA
11110611,NAESZE044-17SA
11034915,NA3BCL0308-15SA
11034915,NAMCTB009-17SA
11120016,DANHZ3002-15SA
11120016,NANHZ3020-15SA
11120016,DANHT3072-15SA
11119614,NA1BIN0406-15SB
11119614,DS1BCM0505-15SA
11114713,DAESTU024-17SA
11114713,NA1ESTU007-17SA
11114713,DDESTO012-17SA
11114713,NAESTU037-17SA
11075015,NA2ESTO013-17SA
11075015,NA3ESTO903-17SA
11075015,DAESZI035-17SA
11075015,NAESTA023-17SA
11075015,NA4MCTA028-15SA
11075015,DAESTI005-17SA
11075015,DAESZI028-17SA
11100816,NAMCTB009-17SA
11100816,DBESTO013-17SA
11100816,DAESTI005-17SA
11100816,DAESTI003-17SA
21015013,NA1MCTA002-17SA
21015013,NA1MCTA017-17SA
21015013,NAMCTA027-17SA
11201921397,NB1BCM0504-15SA
21051713,DAESHC002-17SB
21051713,DAESHC037-17SB
21051713,NAESHC008-17SB
21051713,NAESHC026-17SB
13201723216,DB3BCL0306-15SA
13201723216,DS1BIK0102-15SA
13201723216,DANHT1030-15SA
11019914,NAESZM034-17SA
11019914,NAESTA001-17SA
11019914,NAESTO015-17SA
11019914,NA3ESTI003-17SA
11067314,NA5MCTA037-17SA
11067314,NA3BCN0402-15SA
11067314,NA3BCN0404-15SA
11201811972,NA2BIS0003-15SA
11201811972,NA1BIK0102-15SA
11201811972,NA1BCN0404-15SA
13201910092,NAMCTA004-17SA
13201910092,NAESTI017-17SA
13201910092,NANHI5015-15SA
13201910092,NA1ESTI013-17SA
11201720048,DAESHP022-14SB
11201720048,DABHQ0002-15SB
11201720048,DABHP0001-15SB
11201720048,DABHO1101-15SB
11201921917,NA1BCL0306-15SA
11201921917,NB5BCJ0204-15SA
11201921917,NA4BCN0402-15SA
11201921917,NA1BCM0505-15SA
11201811540,DBESHC035-17SB
11201811540,NANHZ5020-15SA
11201811540,NA2ESTO013-17SA
11201811540,NB2ESTO903-17SA
11201811540,NA3BCK0103-15SA
11201811540,NA1BIN0406-15SA
11201811540,NB1BCM0504-15SA
11201721787,NA1BCM0506-15SB
11201721787,NB1BCK0103-15SB
21001814,NAMCZC010-15SB
21001814,NAESTB030-17SB
21001814,NAESTA008-17SB
21001814,NA2ESTS010-17SB
21001814,NAESTS008-17SB
11077715,NA1ESTB010-17SB
11077715,NANHT1058-15SB
11077715,NBESTO012-17SB
11077715,NAMCTC022-15SB
11077715,DAMCTC011-15SA
21077014,NABHQ0002-15SB
21077014,NA5BCJ0204-15SB
11088716,NB1ESTA002-17SA
11088716,NS2BCJ0204-15SA
11088716,NAESTA020-17SA
11088716,NA5MCTA028-15SA
11088716,DBESTI003-17SA
11201920628,NA5BCJ0204-15SA
11201920628,NA3BCN0402-15SA
11201920628,NA4BCN0404-15SA
11201721493,DB1BIS0003-15SA
11201721493,DA1BIQ0602-15SB
11201721493,DABHO1101-15SB
21072812,DBBHO0001-15SB
21072812,DANHI5011-13SB
21058016,DAESZA011-17SA
21058016,NAESTE028-17SA
21058016,NAESTE017-17SA
21058016,DAESZE077-17SA
21058016,NAESZE044-17SA
11201721262,DAESHP007-13SB
11201721262,DAESHP014-13SB
11201721262,DAESHP019-13SB
21028814,DA2MCTA037-17SA
21028814,NAMCTB009-17SB
21028814,DA1MCTA014-15SA
21028814,NAMCZA015-13SA
21028814,NAMCZA049-17SA
21041814,DAESZA011-17SA
21041814,NAESTE028-17SA
21041814,DBESTE020-17SA
21041814,NAESTE027-17SA
21041814,NAESTE017-17SA
11201720482,DA1MCTA014-15SA
11201720482,DB1MCTA028-15SA
11020214,NAESZS030-17SB
11020214,NAESTS001-17SB
11071212,NAESZS002-17SB
11071212,NAESTS001-17SB
11071212,NA2ESTO012-17SB
11071212,NA2ESTS010-17SB
11071212,NA1ESTI003-17SB
11078614,NAESTA006-17SA
11078614,NAESZI030-17SA
11201920390,NA2BCL0306-15SB
11201920390,NA4BCJ0204-15SB
11201920390,NA2BCN0402-15SB
11201920390,NA2BCN0404-15SB
11201920390,NA2BCM0504-15SB
11003314,NDESTO903-17SB
11003314,NA1ESTS010-17SB
21004216,NAESTS012-17SB
21004216,NAESTO008-17SB
21004216,NA1ESTO012-17SB
21004216,NA1ESTI003-17SB
11033713,DAESZE106-17SA
11033713,NAESZE107-17SA
11048413,NA1ESTB022-17SB
11201921532,DA1BCL0306-15SA
11201921532,DA4BCN0402-15SA
11201921532,DA2BCN0404-15SA
11201921532,DA2BCM0504-15SA
11018710,NA1MCTA028-15SA
11078211,NAESTA016-17SA
11074314,NAESTI019-17SA
11074314,DC1ESTO903-17SA
11115813,NA2MCTA002-17SA
11115813,NA2ESTO013-17SA
11115813,DANHI2049-13SA
11115813,NA1MCTA017-17SA
11042215,NB1ESTA002-17SA
11042215,NA1ESTO013-17SA
11042215,NAESTE028-17SA
11042215,DS6BCJ0204-15SA
11042215,NAESZE107-17SA
21069213,NB2MCTB001-17SA
11201810897,NA2BCL0308-15SB
11201810897,DA1BIQ0602-15SB
11201810897,NB1BCJ0204-15SB
11201810897,NA1BCN0404-15SB
11201810897,DAESZB021-17SB
11201810897,NBESTO012-17SB
11100314,NDESTO903-17SB
11100314,NS2BCJ0204-15SB
11100314,NA4ESTO004-17SB
11100314,NAMCZC016-15SB
11100314,NAESTG023-17SB
11100314,NBESTO012-17SB
21028312,NBESTG022-17SB
11088215,DBMCTB001-17SA
11088215,DA2MCTA008-17SA
11088215,DAMCZA042-17SA
11088215,DA1MCTA017-17SA
11201822491,NA1BIR0603-15SB
11201822491,NA4BCJ0204-15SB
11201822491,NA2BCN0402-15SA
11201822491,NA1BIN0406-15SA
11100812,NA1MCTA014-15SA
11100812,DDESTO012-17SA
11100812,DAESZA005-17SA
11201921157,DA1BCL0306-15SB
11201921157,DA3BCJ0204-15SB
11201921157,DA2BCN0404-15SB
11201921157,DA2BCM0504-15SB
11095315,NA2ESTA002-17SA
11095315,NAESZE104-17SA
11095315,NA2ESTE019-17SA
11095315,NA2MCTA028-15SA
11095315,NAESTU020-17SA
11086714,NAESZM032-17SA
11086714,DAESTM005-17SA
11086714,NAESZM028-17SA
11086714,NBESTM010-17SA
11086714,NAESZM016-17SA
11201720026,DA1ESTO903-17SA
11201720026,DBESTA006-17SA
11201720026,NA2ESTA013-17SA
11201720026,DB1ESTO006-17SA
11201720026,DBESTO017-17SA
11201720026,DC4MCTA028-15SA
11201812126,DAESHR022-14SB
11201812126,DANHH2009-13SB
11201812126,DAESHR006-13SB
11201812126,DANHH2041-13SB
11201812126,DAESHR011-13SB
11201921320,NA2BCL0306-15SA
11201921320,DAESHT005-17SB
11201921320,NA8BCJ0204-15SA
11201921320,NA3BCN0402-15SA
11201921320,NA1BCN0404-15SA
11201921320,NA3BCM0504-15SA
11201921320,DAESHC039-17SB
13201910049,NAESHT001-17SB
13201910049,NAESHT003-17SB
13201910049,NANHH2032-13SB
13201910049,NANHH2041-13SB
11113516,NC3BCL0308-15SA
11113516,NA3BCK0103-15SA
11113516,NB1BCN0405-15SA
11113516,NANHI2049-13SA
11201810902,NAESZP045-13SB
11201810902,NAESHT001-17SB
11201810902,NAESHT003-17SB
11201810902,NAESHT005-17SB
11201810902,NAESHT023-17SB
13201910027,DAESHC020-17SB
13201910027,DCBIN0406-15SB
13201910027,DABHP0202-15SB
13201910027,DAESTO012-17SB
13201910027,DABHQ0301-15SB
11028512,DAESTU037-17SA
11201810216,DB2MCTB001-17SA
11201810216,DA3BCL0308-15SA
11201810216,DBMCTB009-17SA
11201921324,DB2BCL0306-15SA
11201921324,DB8BCJ0204-15SA
11201921324,DB4BCN0402-15SA
11201921324,DB3BCN0404-15SA
11201921324,DB3BCM0504-15SA
11011814,NBESTO016-17SA
11011814,NA4ESTO004-17SB
11201920486,NB1BCL0306-15SB
11201920486,NB1BCJ0204-15SB
11201920486,NB1BCN0402-15SB
11201920486,NB1BCN0404-15SB
11201920486,NB1BCM0504-15SB
21059614,NAESHC030-17SB
21059614,NAESZC020-17SB
21059614,DAESHC014-17SB
21059614,DA1ESTO013-17SA
21059614,NAESHC031-17SB
11201932615,DA1BIR0004-15SA
11201932615,DB1BIS0003-15SA
11201932615,NA3BCL0306-15SA
11201932615,DS1BIK0102-15SA
11201932615,DS1BCJ0204-15SA
11201932615,NA1BCN0402-15SA
11201932615,NA3BCN0404-15SA
11201920779,NA1BCL0306-15SB
11201920779,NA4BCJ0204-15SB
11201920779,NA1BCN0402-15SB
11201920779,NA1BCN0404-15SB
11201920779,NA1BCM0504-15SB
11028013,NA1BIJ0207-15SB
11028013,NAMCZC016-15SB
11028013,NANHZ5015-09SA
11028013,NAESTM009-17SA
11201922132,DA2BCL0306-15SA
11201922132,DA1BCJ0204-15SA
11201922132,DA2BCN0402-15SA
11201922132,DA3BCN0404-15SA
11201922132,DA3BCM0504-15SA
11201811638,DAMCTB001-17SB
11201811638,DA1BCL0308-15SB
11201811638,DA1BIQ0602-15SB
11201811638,DA1BCK0103-15SB
11201811638,DC1ESTO006-17SB
11038412,NA1ESTA002-17SB
11038412,NAESZB017-17SB
11006612,DA1BIR0603-15SA
11201720542,DB2BIQ0602-15SA
11201720542,DANHI2049-13SA
11201720542,DA1MCTA017-17SA
11201720542,DA1ESZI014-17SA
21089115,NA1ESTB002-17SB
21089115,NA2BCN0404-15SB
21089115,NA1ESTO006-17SB
11201932521,DCBIS0005-15SB
11201932521,DABHP0001-15SB
11201932521,DCBIN0406-15SB
11201932521,DABHO0001-15SB
