ra,turma
11201920706,DBNHZ3087-15SA
11201920706,DB9BCJ0205-15SA
11201920706,DA1BCN0402-15SA
11201920706,DB1BCN0407-15SA
11201920706,DA1ESTO005-17SA
11201920706,DB1BCL0307-15SB
11201920385,NA8BCJ0205-15SA
11201920385,NA3BCN0407-15SA
11201920385,DSBCM0505-15SA
11201920385,NA1BCL0307-15SA
11096513,NB1BCN0402-15SA
11096513,NA2ESTU006-17SA
11096513,NB2BCK0104-15SA
11096513,NAESTU012-17SA
11096513,NAESTU033-17SA
21083914,DA1ESHT008-17SB
11201810859,DBESZG013-17SB
11201810859,NBESHC018-17SB
11201810859,NA2BCN0407-15SB
11201810859,NA3MCTC014-13SB
11201810859,DBBHS0001-15SB
11054214,NAESZG038-17SB
11054214,NAESTG006-17SB
11054214,NAESZG018-17SB
11054214,NAESZG041-17SB
11201722567,NA1NHT4017-15SA
11201722567,NA3ESTO011-17SA
11201722567,NA1NHT3049-15SA
11112812,NANHT4052-15SA
11201810209,NA1BCJ0205-15SA
11201810209,NA5BCL0307-15SA
11201811442,DA1BIR0603-15SA
11201811442,DAESTU005-17SA
11201811442,DANHZ3087-15SA
11201811442,DA5BCJ0205-15SA
11201811442,DB1ESTO012-17SA
11201811258,DA4MCTA001-17SA
11201811258,DANHT3068-15SA
11201811258,DA1BCS0002-15SA
11201810244,NB1BIR0004-15SA
11201810244,DAESTE033-17SA
11201810244,NB3BCJ0205-15SA
11201810244,NBBCN0402-15SA
11201810244,NB2BCK0104-15SA
11201810244,DDESTO005-17SA
11076313,NAMCTB001-17SA
11076313,NA4MCTA001-17SA
11076313,DPMCTA003-17SA
21022712,NA1ESTA001-17SA
21022712,NAMCZA008-17SA
21022712,NA1ESTO012-17SA
11201810449,NAMCTB001-17SA
11201810449,NANHT1067-15SA
11201810449,DANHT1055-15SA
11201810449,DANHT1061-15SA
11201810449,DB1BCK0104-15SA
11201722315,DAESHC033-17SB
11201722315,DA2MCTC014-13SB
11201722315,DAESHC024-17SB
11201722315,NAESZG040-17SB
11201722315,DA1BHS0001-15SB
11201721098,NA3MCTB010-13SB
11201721098,NAESTA006-17SA
11201721098,NA1BCN0407-15SA
11201721098,NA2ESTO006-17SA
11201922401,DA9BCM0505-15SA
11201922401,DA6BCL0307-15SA
11095212,NAESTG010-17SB
21043615,NAESHC038-17SB
21043615,NB1BCN0407-15SB
11201920267,NA2BCJ0205-15SA
11201920267,NA4BCN0407-15SA
11201920267,NA9BCM0505-15SA
11201920267,NA4BCL0307-15SA
11076112,NAESZU034-17SA
11076112,NAESTU027-17SA
11076112,NAESZU035-17SA
11076112,NAESZU033-17SA
11201810758,DABCL0306-15SA
11201810758,DANHZ1078-15SA
11201810758,DB1BIR0603-15SA
11201810758,DA1BIQ0602-15SA
11028014,NB3BCN0407-15SA
11028014,NA1BCN0404-15SA
11201810999,DA7BCJ0205-15SA
11201810999,DA2BCM0505-15SA
11201810999,DA4BCL0307-15SA
11201721620,DB3MCTA001-17SA
11201721620,NABHQ0002-15SA
11201721620,DC2ESTO006-17SA
11201721620,DC1ESTO012-17SA
11201721620,NCESTA019-17SA
11201721620,NB2BCS0002-15SA
11201721620,DAESZU016-17SA
11201920143,NB1BIR0004-15SA
11201920143,NA1BIR0603-15SA
11201920143,NA3ESTO011-17SA
11201723029,NA1BIR0004-15SA
11201723029,NAMCTD023-18SA
11201723029,NAMCTD009-18SA
11201723029,NA3MCTB019-17SA
11201920427,DA5BCJ0205-15SA
11201920427,DA1BCN0407-15SA
11201920427,DA5BCM0505-15SA
11201920427,DA4BCL0307-15SA
21059116,NBESHC036-17SB
21059116,NAESZC031-17SB
21059116,NAESHR026-14SB
21059116,NAESHC024-17SB
11005508,NAMCZC004-15SB
11005508,NIMCTC014-13SB
21056316,NANHH2007-13SB
21056316,NANHH2017-16SB
21056316,NANHZ2055-11SB
11183209,NA1ESTA004-17SA
11201811981,NA1BIR0004-15SB
11201811981,NABCN0404-15SB
11201811981,NANHH2086-16SB
11201811981,NB3BCL0307-15SB
11201721174,NAESZR002-13SB
11201721174,DAESZG013-17SB
11201721174,NA1BCN0407-15SB
11201721174,DAESHC019-17SB
11015213,NA2ESHC017-17SB
11015213,NANHH2035-13SB
11019811,NAESTO014-17SA
11023713,NIESTS016-17SB
21045214,NAESZP015-13SB
21045214,NAMCZC011-15SB
21009516,NAESHR001-13SB
21009516,NAESHR003-13SB
21009516,NAESHR903-18SB
21009516,NA1ESHP016-13SB
11122214,NAESTU026-17SA
11122214,NAESZU035-17SA
11122214,NAESTU007-17SA
11122214,NAESZU016-17SA
11122214,NAESTU032-17SA
11201812163,NBBCN0402-15SB
11201812163,NABCN0404-15SB
11201812163,NB2BCL0307-15SB
11201811418,NANHI5002-15SB
11201811418,NC2BCJ0205-15SB
11201811418,DANHT1091-16SA
11201811418,NAESZP039-14SB
11110615,NAESTM001-17SA
11110615,NA2ESTO004-17SA
11110615,NAESZM037-17SA
11110615,NAESTM015-17SA
11110615,DAESTM018-17SA
11201921322,DA3BCJ0205-15SB
11201921322,DA1BCN0407-15SB
11201921322,DA1BCM0505-15SB
11201921322,DA1BCL0307-15SB
11201722814,NA3MCTB019-17SA
11201722814,NA1BCS0002-15SA
11201722814,NA2MCTA022-17SA
11201722814,NAESTI008-17SA
11106316,DS3BCK0103-15SA
11106316,NA2ESTO011-17SA
11106316,NAESZU035-17SA
11106316,DA1ESTU006-17SA
11106316,NB1BCK0104-15SA
11106316,NA1ESTO008-17SA
11070616,DA1BIR0004-15SA
11070616,DA2MCTB019-17SA
11070616,DAMCZA020-13SA
11070616,DA1MCTA023-17SA
11201921502,NB2BIS0005-15SB
11201921502,NB1BIQ0602-15SB
11201921502,NBBHQ0002-15SB
11201921502,NBBHP0001-15SB
11201921502,NBBHQ0301-15SB
11201810492,NAESHR002-13SB
11201810492,NAESZR009-13SB
11201810492,NAESHR023-14SB
11201810492,NAESZP039-14SB
11201810492,DAESHR014-13SB
11201723041,NABHQ0001-15SB
11201723041,NA1BHS0001-15SB
11201723041,NABHP0201-15SB
11201722869,NA2MCTB010-13SB
11201722869,NA3ESTA004-17SA
11201722869,NB3ESTO903-17SA
11201722869,NA2BCS0002-15SA
11201722869,NB1ESTA014-17SA
11201920139,NS1BIK0102-15SA
11201920139,NABCN0402-15SA
11201920139,NA3BCM0505-15SA
21011214,NA1MCTA001-17SA
21050516,NAESHR026-14SB
21050516,NAESHR014-13SB
21050516,NAESHP020-13SB
21050516,NAESHP029-14SB
11019411,NA2ESTE020-17SA
11019411,NAESZA010-17SA
11019411,NAESTO014-17SA
11201722176,NABCL0306-15SA
11201722176,NA1ESTO011-17SA
11201722176,NA1BCN0404-15SA
11110611,NAESZE105-17SA
11110611,NAESZE025-17SA
11110611,NBESTA016-17SA
11110611,NAESZE090-17SA
11034915,NAMCTB009-17SA
11119614,NB3BCN0407-15SA
11114713,NA3ESTO001-17SA
11075015,NA1ESTI004-17SA
11075015,NA1MCTA022-17SA
11075015,NA1ESTI013-17SA
11100816,NAESTO902-17SA
11100816,NS2BCK0103-15SA
11100816,NA1BCK0104-15SA
11100816,NA1MCTA022-17SA
21015013,NA1MCTA001-17SA
21015013,NA1MCTB019-17SA
11201921397,NAESZU027-17SA
11201921397,NAESTE004-17SA
11201921397,NAMCTD023-18SA
11201921397,DAMCZA032-17SA
21051713,NAMCTB001-17SB
21051713,NA2ESHC017-17SB
13201723216,DABHO0101-15SB
13201723216,DABHQ0001-15SB
13201723216,DABHO0001-15SB
13201723216,NABHP0201-15SB
11019914,NBESTA016-17SA
11067314,NA4BCJ0205-15SA
11067314,NABCN0404-15SA
11067314,NA1BCK0104-15SA
11201811972,NA1BCN0402-15SA
11201811972,NBBCN0404-15SA
13201910092,NAESTI018-17SA
11201720048,DABHO0102-15SB
11201720048,DA1BCN0404-15SB
11201720048,DABHQ0001-15SB
11201720048,DABHQ0003-15SB
11201720048,DABHP0201-15SB
11201921917,NA9BCJ0205-15SA
11201921917,NABCN0402-15SA
11201921917,NBESTA019-17SA
11201921917,NA5BCL0307-15SA
11201811540,NAESTU005-17SA
11201811540,DS3BCK0103-15SA
11201811540,NA2ESTA023-17SA
11201811540,NA1BCM0504-15SA
11201811540,NAESTI004-17SA
11201811540,NCESTA019-17SA
11201811540,NB2BCS0002-15SA
11201721787,NA1BCL0306-15SB
11201721787,NA1BCM0504-15SB
21001814,DAESTS006-17SB
21001814,DAESTS011-17SB
21001814,NAMCZC016-15SB
21001814,NAESZP039-14SB
21001814,NAESHP029-14SB
11077715,NAESTB004-17SB
11077715,NAESTB019-17SB
11077715,NAESTB015-17SB
21077014,NC2BCJ0205-15SB
21077014,NA2BCN0407-15SB
21077014,NAESTU039-17SB
11088716,NA4MCTA006-17SA
11088716,NA2BCK0104-15SA
11088716,NAESTI004-17SA
11088716,NA2MCTA022-17SA
11088716,NA1MCZA030-17SA
11201920628,NA7BCJ0205-15SA
11201920628,DDESTO005-17SA
11201920628,NA4BCM0505-15SA
11201920628,NC1BCL0307-15SA
11201721493,DA1BIR0603-15SA
21058016,NAESTE032-17SA
21058016,NAESTE025-17SA
21058016,NA2ESTE020-17SA
21058016,NAMCZC016-15SB
11201721262,DABHQ0002-15SB
11201721262,DAESZP029-13SB
11201721262,DAESHP020-13SB
11201721262,DBESTU021-17SB
21077913,NAESZG041-17SB
21077913,NAESHC019-17SB
21028814,NBNHZ5020-15SA
21041814,NAESZE105-17SA
21041814,NAESTE032-17SA
21041814,NAESTE025-17SA
21041814,NAESZE081-17SA
11020214,NAESZS019-17SB
11020214,NB2ESTA014-17SA
11078614,NA1ESTA001-17SA
11078614,NAESTO016-17SA
11078614,NA1ESTO006-17SA
11003314,NAESTS005-17SB
11003314,NAESTS007-17SB
11003314,DAESTS011-17SB
11003314,NAESZE081-17SA
21004216,NIESTS016-17SB
21004216,NAESZS012-17SB
21004216,NAESTS007-17SB
21004216,NAESTO015-17SB
11033713,NAESZG038-17SB
11033713,NAESZE025-17SA
11033713,NAESZE090-17SA
11201921532,DA3BCJ0204-15SA
11201921532,DA6BCJ0205-15SA
11201921532,DA2BCN0407-15SA
11201921532,DA5BCM0505-15SA
11201921532,DA5BCL0307-15SA
11078211,NAESTO014-17SA
11074314,NA1ESTA004-17SA
11074314,NAESTI018-17SA
11074314,DAESZI032-17SA
11074314,DAMCZA018-17SA
11115813,NA1ESTA001-17SA
11115813,NA1MCTB019-17SA
11115813,NA2ESTO017-17SA
11042215,NA1ESTI002-17SA
11042215,NB3BCJ0204-15SA
11042215,NA1BCK0104-15SA
11042215,DAESTM010-17SA
11042215,NB2ESTA014-17SA
11201810897,NB1BIR0603-15SA
11201810897,NB5BCJ0205-15SA
11201810897,NB3BCK0104-15SA
11201810897,DA1BCM0504-15SA
11201810897,DA4BCM0505-15SA
11100314,NAESZG038-17SB
11100314,NAESTG006-17SB
11100314,NAESZG018-17SB
11100314,NAESTG010-17SB
11088215,DB3BCN0407-15SA
11088215,DB1BCK0104-15SA
11088215,DAMCZA032-17SA
11088215,DA1MCTA022-17SA
21017413,NANHT3065-15SA
21017413,NA1NHT5012-15SA
11201822491,NA2BCJ0205-15SA
11201822491,NABCN0404-15SB
11201822491,DAMCZB009-13SA
11201822491,DBESTO005-17SA
11100812,NA1MCTB010-13SB
11100812,DAESTA010-17SA
11201921157,DA1NHZ3087-15SA
11201921157,DA4BCJ0205-15SB
11201921157,DA1BCN0407-15SB
11201921157,DA1BCM0505-15SB
11201921157,DA2BCL0307-15SB
11095315,NA1NHT4017-15SA
11095315,NAESZE109-17SA
11095315,NAESZE111-17SA
11095315,NB1ESTO012-17SA
11086714,NAESZM007-17SA
11086714,NAESTE025-17SA
11086714,NAESTM005-17SA
11086714,NAESZM030-17SA
11201720026,DA1MCTB010-13SA
11201720026,DA1ESTA001-17SA
11201720026,DAESTO015-17SA
11201720026,NAESTI004-17SA
11201720026,NA1ESTI013-17SA
11201812126,DA2BIS0005-15SB
11201812126,DANHH2007-13SB
11201812126,DANHH2033-13SB
11201812126,DABHP0201-15SB
11201812126,DABHQ0301-15SB
11201921320,NA1BIQ0602-15SA
11201921320,NANHH2086-16SB
13201910049,NbBHO0101-15SB
13201910049,NBBHP0001-15SB
13201910049,NABHQ0001-15SB
13201910049,NABHQ0003-15SB
13201910049,NABHP0201-15SB
11113516,DS3BCK0103-15SA
11113516,NB1BCK0104-15SA
11201810902,NBBCL0306-15SB
11201810902,NAESHT002-17SB
11201810902,NAESHT025-17SB
11201810902,NAESHT006-17SB
11201810902,NAESTU039-17SB
11201812264,NB1BIR0004-15SA
11201812264,NA1BIR0603-15SA
11201812264,DB2BCN0407-15SB
11201812264,NA1BCK0104-15SA
11201812264,DA1ESTO006-17SB
13201910027,DAESZG038-17SB
13201910027,DAESHC016-17SB
13201910027,DABHQ0003-15SB
13201910027,DA1MCTC014-13SB
13201910027,DA1BHS0001-15SB
13201910027,DABHP0201-15SB
11201810216,DA2MCTA006-17SA
11201810216,DA1MCTB019-17SA
11201810216,DB1ESTO006-17SA
11201921324,DA2BCN0407-15SA
11201921324,DA6BCM0505-15SA
11201921324,DA2BCL0307-15SA
11011814,DA1ESTO016-17SB
11201920486,NC2BCJ0205-15SB
11201920486,NA2BCN0407-15SB
11201920486,NA1BCM0505-15SB
11201920486,NA3BCL0307-15SB
21059614,NB1ESTO013-17SB
21059614,NB1BCN0407-15SB
11201920779,NC1BCJ0205-15SB
11201920779,NA2BCN0407-15SB
11201920779,NA1BCM0505-15SB
11201920779,NA1BCL0307-15SB
11201922132,DB1BCJ0204-15SA
11201922132,DA5BCJ0205-15SA
11201922132,DA1BCN0402-15SA
11201922132,DA1BCN0407-15SA
11201922132,DA1BCM0505-15SA
11201922132,DA5BCL0307-15SA
11201811638,DAMCTB009-17SB
11201811638,NA3MCTB010-13SB
11201811638,NA1BIR0603-15SB
11201811638,NB1ESTO013-17SB
11201811638,DAESTO011-17SB
11201811638,DA1BCK0104-15SB
11201811638,DA1ESTA014-17SA
11006612,NANHZ4061-15SA
11201720542,DA1MCTA001-17SA
11201720542,DA3MCTA006-17SA
11201720542,DA2MCTB019-17SA
11201720542,DA1MCZA030-17SA
21089115,NAMCTB001-17SA
21089115,NAMCTB009-17SA
21089115,NAESTB015-17SB
11201932521,DAESZR002-13SB
11201932521,DABHQ0002-15SB
11201932521,DABHQ0001-15SB
11201932521,DABHQ0003-15SB
11201932521,DABHP0201-15SB
11020914,DAESZS002-17SB
11055215,NAESZE105-17SA
11055215,DAESTE033-17SA
11055215,DA1ESTE027-17SA
11055215,NAESZE100-17SA
11033116,DAESTB019-17SB
11033116,DA1BCL0308-15SB
11033116,DA2BCN0407-15SB
11033116,DA1BCK0104-15SB
11033116,DA1ESTO006-17SB
11201921566,DANHZ3087-15SA
11201921566,DA1BCJ0205-15SA
11201921566,DA1BCN0402-15SA
11201921566,DA1BCN0407-15SA
11201921566,DA8BCM0505-15SA
11201921566,DA5BCL0307-15SA
11051314,NA2MCTB019-17SA
11201721825,DAMCTB014-17SA
11201721825,DAMCTB015-17SA
11201721825,DAMCTB016-13SA
11201721825,NAMCTB020-17SA
11201721825,NAMCTB024-13SA
11201810333,DAMCTB009-17SB
11201810333,DB1MCTB010-13SA
11201810333,DA2ESTO001-17SA
11201810333,NA1NHT4017-15SA
11201810333,NB1BCK0104-15SA
11201810333,NANHT4023-15SA
11201810333,NA1NHT3049-15SA
21013613,NAMCTB006-13SA
21013613,NA1MCTB010-13SB
21013613,NA1MCTC014-13SB
21033315,NAESHC033-17SB
21033315,NBESHC016-17SB
21033315,NAESHC024-17SB
